Company,Source / Entry point,Sector/Industry,HQ / Locations,Employee count / Size,Website,General email,Phone,LinkedIn URL,HR/People contact (name),HR contact title,HR contact email,HR mailbox (confirmed),HR contact email — inferred (pattern + basis),"CEO/Leadership (name, small cos)",Leadership email,Source(s),Relevance note,Status,All emails found (verbatim),Inferred emails (pattern + basis)
Grupompleo,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),ETT / RRHH outsourcing,Zaragoza,medium,https://www.grupompleo.com,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://www.grupompleo.com,"Batch-4 directory candidate (broadened filter): ETT / RRHH outsourcing, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@grupompleo.com (inferred)
Temporing ETT,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),ETT / RRHH outsourcing,Zaragoza,medium,https://www.temporingett.com,zaragoza@temporingett.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://www.temporingett.com,"Batch-4 directory candidate (broadened filter): ETT / RRHH outsourcing, Zaragoza. Assess corporate-housing fit/size.",partial,zaragoza@temporingett.com,Pattern undetermined
Areajob,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),ETT / RRHH outsourcing,Zaragoza,small,https://www.areajob.es,zaragoza2@areajob.es,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://www.areajob.es,"Batch-4 directory candidate (broadened filter): ETT / RRHH outsourcing, Zaragoza. Assess corporate-housing fit/size.",partial,zaragoza2@areajob.es,Pattern undetermined
Crit Interim ETT,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),ETT / RRHH outsourcing,Zaragoza,large,https://www.grupocrit.com,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://www.grupocrit.com,"Batch-4 directory candidate (broadened filter): ETT / RRHH outsourcing, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@grupocrit.com (inferred)
Denbolan ETT,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),ETT / RRHH outsourcing,Zaragoza,medium,https://www.denbolan.es,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://www.denbolan.es,"Batch-4 directory candidate (broadened filter): ETT / RRHH outsourcing, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@denbolan.es (inferred)
Flexiplan (Grupo Eulen),Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),ETT / RRHH outsourcing,Zaragoza,large,https://www.flexiplan.es,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://www.flexiplan.es,"Batch-4 directory candidate (broadened filter): ETT / RRHH outsourcing, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@flexiplan.es (inferred)
Verker Recursos Humanos,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),ETT / RRHH outsourcing,Zaragoza,small,https://www.verker.es,info@verker.es,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://www.verker.es,"Batch-4 directory candidate (broadened filter): ETT / RRHH outsourcing, Zaragoza. Assess corporate-housing fit/size.",partial,info@verker.es,Pattern undetermined
Nortempo ETT,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),ETT / RRHH outsourcing,Zaragoza,large,https://www.nortempo.com,zaragoza@nortempo.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://www.nortempo.com,"Batch-4 directory candidate (broadened filter): ETT / RRHH outsourcing, Zaragoza. Assess corporate-housing fit/size.",partial,zaragoza@nortempo.com,Pattern undetermined
Nexian,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),ETT / RRHH outsourcing,Zaragoza,medium,https://www.nexian.es,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://www.nexian.es,"Batch-4 directory candidate (broadened filter): ETT / RRHH outsourcing, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,zaragoza@nexian.es (inferred)
Cesión ETT,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),ETT / RRHH outsourcing,Zaragoza,medium,https://www.cesion.es,zaragoza1@cesion.es,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://www.cesion.es,"Batch-4 directory candidate (broadened filter): ETT / RRHH outsourcing, Zaragoza. Assess corporate-housing fit/size.",partial,zaragoza1@cesion.es,Pattern undetermined
Mas Humanos,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),ETT / RRHH outsourcing,Zaragoza,small,https://www.mashumanos.es,soporte@mashumanos.es,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://www.mashumanos.es,"Batch-4 directory candidate (broadened filter): ETT / RRHH outsourcing, Zaragoza. Assess corporate-housing fit/size.",partial,soporte@mashumanos.es,Pattern undetermined
Marlex,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),ETT / RRHH outsourcing,Zaragoza,large,https://www.marlex.net,zaragoza@marlex.net,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://www.marlex.net,"Batch-4 directory candidate (broadened filter): ETT / RRHH outsourcing, Zaragoza. Assess corporate-housing fit/size.",partial,zaragoza@marlex.net,Pattern undetermined
Empatif,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),ETT / RRHH outsourcing,Zaragoza,medium,https://www.empatif.com,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://www.empatif.com,"Batch-4 directory candidate (broadened filter): ETT / RRHH outsourcing, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@empatif.com (inferred)
EPOS Spain ETT,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),ETT / RRHH outsourcing,Zaragoza,medium,https://www.eposspain.es,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://www.eposspain.es,"Batch-4 directory candidate (broadened filter): ETT / RRHH outsourcing, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@eposspain.es (inferred)
Servitrece (Ebrosar),Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),ETT / RRHH outsourcing,Zaragoza,small,https://www.servitrece.com,curriculum@servitrece.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://www.servitrece.com,"Batch-4 directory candidate (broadened filter): ETT / RRHH outsourcing, Zaragoza. Assess corporate-housing fit/size.",partial,curriculum@servitrece.com,Pattern undetermined
Triangle Solutions RRHH,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),ETT / RRHH outsourcing,Zaragoza,large,https://www.trianglesolutionsrrhh.com,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://www.trianglesolutionsrrhh.com,"Batch-4 directory candidate (broadened filter): ETT / RRHH outsourcing, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@trianglesolutionsrrhh.com (inferred)
Gamma Servicios,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),Facility services / cleaning / multiservices,Zaragoza,medium,https://gammaservicios.com,gamma@gammasl.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://gammaservicios.com,"Batch-4 directory candidate (broadened filter): Facility services / cleaning / multiservices, Zaragoza. Assess corporate-housing fit/size.",partial,gamma@gammasl.com,Pattern undetermined
Acciona Facility Services,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),Facility services / multiservices,Zaragoza,multinational,https://www.acciona.com,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://www.acciona.com,"Batch-4 directory candidate (broadened filter): Facility services / multiservices, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@acciona.com (inferred)
Grupo Eulen,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),Facility / cleaning / security / outsourcing,Zaragoza,multinational,https://www.eulen.com,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://www.eulen.com,"Batch-4 directory candidate (broadened filter): Facility / cleaning / security / outsourcing, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@eulen.com (inferred)
Anayet Mundus,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),Industrial cleaning / multiservices,Zaragoza,medium (~300),https://anayetmundus.com,comercial@anayetmundus.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://anayetmundus.com,"Batch-4 directory candidate (broadened filter): Industrial cleaning / multiservices, Zaragoza. Assess corporate-housing fit/size.",partial,comercial@anayetmundus.com,Pattern undetermined
Alfisan,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),Industrial cleaning,Zaragoza,medium,https://www.alfisan.com,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://www.alfisan.com,"Batch-4 directory candidate (broadened filter): Industrial cleaning, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@alfisan.com (inferred)
Cangurin,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),Industrial cleaning,Zaragoza,small,https://www.cangurin.com,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://www.cangurin.com,"Batch-4 directory candidate (broadened filter): Industrial cleaning, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@cangurin.com (inferred)
Grupo Tesco Limpiezas,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),Industrial cleaning,Zaragoza,medium,https://grupotesco.com,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://grupotesco.com,"Batch-4 directory candidate (broadened filter): Industrial cleaning, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@grupotesco.com (inferred)
Levantina de Seguridad,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),Private security / surveillance,Zaragoza,large,https://www.levantinadeseguridad.es,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://www.levantinadeseguridad.es,"Batch-4 directory candidate (broadened filter): Private security / surveillance, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@levantinadeseguridad.es (inferred)
On Grup Seguridad,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),Private security / surveillance,Zaragoza,medium,https://www.ongrup.com,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://www.ongrup.com,"Batch-4 directory candidate (broadened filter): Private security / surveillance, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@ongrup.com (inferred)
Combi Catering,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),Catering / collective dining,Zaragoza,medium,https://www.comerbien.es,clientescombi@comerbien.es,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://www.comerbien.es,"Batch-4 directory candidate (broadened filter): Catering / collective dining, Zaragoza. Assess corporate-housing fit/size.",partial,clientescombi@comerbien.es,Pattern undetermined
Giner Cocina Central,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),Catering / collective dining,Cadrete (Zaragoza),medium,https://www.ginercocinacentral.com,ginercocinacentral@live.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://www.ginercocinacentral.com,"Batch-4 directory candidate (broadened filter): Catering / collective dining, Cadrete (Zaragoza). Assess corporate-housing fit/size.",partial,ginercocinacentral@live.com,Pattern undetermined
Zaragoza Catering,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),Catering / collective dining,Zaragoza,small,https://zaragozacatering.es,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://zaragozacatering.es,"Batch-4 directory candidate (broadened filter): Catering / collective dining, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@zaragozacatering.es (inferred)
Zortec Fotovoltaica,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),Energy / photovoltaic installations,Zaragoza,small,https://www.zortec.es,info@zortec.es,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://www.zortec.es,"Batch-4 directory candidate (broadened filter): Energy / photovoltaic installations, Zaragoza. Assess corporate-housing fit/size.",partial,info@zortec.es,Pattern undetermined
A3 Renovables,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),Energy / renewables / installations,Zaragoza,small,https://www.a3renovables.es,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://www.a3renovables.es,"Batch-4 directory candidate (broadened filter): Energy / renewables / installations, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@a3renovables.es (inferred)
OTeI Ingeniería,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),Engineering / projects / installations,Zaragoza,small,https://otei.es,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://otei.es,"Batch-4 directory candidate (broadened filter): Engineering / projects / installations, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@otei.es (inferred)
Incosa Ingeniería,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),Industrial engineering / projects,Zaragoza,small,https://www.incosaingenieria.es,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://www.incosaingenieria.es,"Batch-4 directory candidate (broadened filter): Industrial engineering / projects, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@incosaingenieria.es (inferred)
Ebro Aire,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),Industrial engineering / fabrication / assembly,Zaragoza,small,https://ebroaire.com,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://ebroaire.com,"Batch-4 directory candidate (broadened filter): Industrial engineering / fabrication / assembly, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@ebroaire.com (inferred)
Grupo MLN,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),Construction / civil works / aggregates-concrete,Zaragoza,large,https://www.grupo-mln.com,info@grupo-mln.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://www.grupo-mln.com,"Batch-4 directory candidate (broadened filter): Construction / civil works / aggregates-concrete, Zaragoza. Assess corporate-housing fit/size.",partial,info@grupo-mln.com,Pattern undetermined
Servicios ASEG,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),Construction / civil works / refurbishment,Zaragoza,medium,https://www.servicios-aseg.com,info@servicios-aseg.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://www.servicios-aseg.com,"Batch-4 directory candidate (broadened filter): Construction / civil works / refurbishment, Zaragoza. Assess corporate-housing fit/size.",partial,info@servicios-aseg.com,Pattern undetermined
"Viacesa Construcciones, S.L.",Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),Construction / building-civil works,Zaragoza,medium,https://www.viacesa.com,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://www.viacesa.com,"Batch-4 directory candidate (broadened filter): Construction / building-civil works, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@viacesa.com (inferred)
Tecnyconta (Consolis Tecnyconta),Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),Precast concrete / structures,Zaragoza,large,https://www.tecnyconta.es,tecnyconta@tecnyconta.es,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://www.tecnyconta.es,"Batch-4 directory candidate (broadened filter): Precast concrete / structures, Zaragoza. Assess corporate-housing fit/size.",partial,tecnyconta@tecnyconta.es,Pattern undetermined
Usón Materiales de Construcción,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),Construction materials,Zaragoza,medium,https://usonsl.com,usonsl@usonsl.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://usonsl.com,"Batch-4 directory candidate (broadened filter): Construction materials, Zaragoza. Assess corporate-housing fit/size.",partial,usonsl@usonsl.com,Pattern undetermined
Ebroplac,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),Construction materials / plasterboard,Zaragoza,small-medium,https://ebroplac.es,martareino@ebroplac.es,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://ebroplac.es,"Batch-4 directory candidate (broadened filter): Construction materials / plasterboard, Zaragoza. Assess corporate-housing fit/size.",partial,martareino@ebroplac.es,Pattern undetermined
La Especialista Distribuidora de Sistemas Constructivos,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),Construction materials / Knauf distributor,Zaragoza,medium,https://laespecialista.es,zaragoza@laespecialista.es,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://laespecialista.es,"Batch-4 directory candidate (broadened filter): Construction materials / Knauf distributor, Zaragoza. Assess corporate-housing fit/size.",partial,zaragoza@laespecialista.es,Pattern undetermined
INCLIZA,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),HVAC / climatisation / energy efficiency,Zaragoza,medium,https://incliza.com,incliza@incliza.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://incliza.com,"Batch-4 directory candidate (broadened filter): HVAC / climatisation / energy efficiency, Zaragoza. Assess corporate-housing fit/size.",partial,incliza@incliza.com,Pattern undetermined
Climática Energía,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),HVAC / electrical / solar,Zaragoza,small-medium,https://climaticaenergia.es,info@climaticaenergia.es,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://climaticaenergia.es,"Batch-4 directory candidate (broadened filter): HVAC / electrical / solar, Zaragoza. Assess corporate-housing fit/size.",partial,info@climaticaenergia.es,Pattern undetermined
Araelectric S.A.,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),Electrical & industrial installations,Zaragoza,medium,https://www.araelectric.es,araelectric@araelectric.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://www.araelectric.es,"Batch-4 directory candidate (broadened filter): Electrical & industrial installations, Zaragoza. Assess corporate-housing fit/size.",partial,araelectric@araelectric.com,Pattern undetermined
Montajes Eléctricos Barraqueta,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),Industrial electrical assembly / HVAC,Zaragoza,medium,https://barraqueta.com,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://barraqueta.com,"Batch-4 directory candidate (broadened filter): Industrial electrical assembly / HVAC, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@barraqueta.com (inferred)
Electricidad Sierra Gregorio (ElecSierra),Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),Electrical installations / HVAC,Zaragoza,small-medium,https://elecsierra.es,administracion@elecsierra.es,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://elecsierra.es,"Batch-4 directory candidate (broadened filter): Electrical installations / HVAC, Zaragoza. Assess corporate-housing fit/size.",partial,administracion@elecsierra.es,Pattern undetermined
SEZSA Solutions Montajes,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),Industrial electrical assembly (AT/MT/BT),Zaragoza,medium,https://www.sezsolutionsmontajes.com,info@sezsa.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://www.sezsolutionsmontajes.com,"Batch-4 directory candidate (broadened filter): Industrial electrical assembly (AT/MT/BT), Zaragoza. Assess corporate-housing fit/size.",partial,info@sezsa.com,Pattern undetermined
Eléctricos Aragón 2000 (Grupo EA2000),Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),Electrical installations / HVAC,Zaragoza,medium,https://www.grupoea2000.com,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://www.grupoea2000.com,"Batch-4 directory candidate (broadened filter): Electrical installations / HVAC, Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@grupoea2000.com (inferred)
Aralux,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),Industrial electrical installations / engineering,Cuarte de Huerva (Zaragoza),medium,https://aralux.es,info@aralux.es,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://aralux.es,"Batch-4 directory candidate (broadened filter): Industrial electrical installations / engineering, Cuarte de Huerva (Zaragoza). Assess corporate-housing fit/size.",partial,info@aralux.es,Pattern undetermined
ELEXAR (Grupo EA2000),Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),Fire protection (PCI),"Zaragoza (La Cartuja, Empresarium)",medium,https://www.elexar.es,taller@elexar.es,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://www.elexar.es,"Batch-4 directory candidate (broadened filter): Fire protection (PCI), Zaragoza (La Cartuja, Empresarium). Assess corporate-housing fit/size.",partial,taller@elexar.es,Pattern undetermined
EXTINZAR PCI,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),Fire protection (PCI),Zaragoza,small-medium,https://www.extinzar.es,,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://www.extinzar.es,"Batch-4 directory candidate (broadened filter): Fire protection (PCI), Zaragoza. Assess corporate-housing fit/size.",list-only,None found verbatim,info@extinzar.es (inferred)
Naes PCI,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),Fire protection (PCI),Zaragoza (La Cartuja),medium,https://naes2014.es,naes@naespci.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://naes2014.es,"Batch-4 directory candidate (broadened filter): Fire protection (PCI), Zaragoza (La Cartuja). Assess corporate-housing fit/size.",partial,naes@naespci.com,Pattern undetermined
Nor-Este (Zintec),Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),Tower cranes / scaffolding / lifting,Villanueva de Gállego (Zaragoza),medium,https://www.nor-este.com,comercial@nor-este.com,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://www.nor-este.com,"Batch-4 directory candidate (broadened filter): Tower cranes / scaffolding / lifting, Villanueva de Gállego (Zaragoza). Assess corporate-housing fit/size.",partial,comercial@nor-este.com,Pattern undetermined
Ecogrúas Da Vinci,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13),Self-propelled cranes / lifting / transport,Zaragoza,medium,https://www.ecogruas.es,ecogruasdavinci@ecogruas.es,,,,,,,,,,Directory harvest (Paginas Amarillas/Empresite/eInforma/cluster & poligono dirs) + web - batch 4 (2026-06-13); https://www.ecogruas.es,"Batch-4 directory candidate (broadened filter): Self-propelled cranes / lifting / transport, Zaragoza. Assess corporate-housing fit/size.",partial,ecogruasdavinci@ecogruas.es,Pattern undetermined
